title,company,location,summary,salary
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
Microsoft BI Developer/Analyst,Robert Half,Australia,"Experience working in large financial businesses is very advantageous.
Pioneers in their industry, this business have seen record revenue generating month even…",121207.5
"Manager, Analytics and Data Automation – Macquarie Capital",Macquarie Group,Australia,Analytics assets will vary from descriptive business intelligence to prescriptive quantitative models typically delivered in the form of interactive dashboards.,121207.5
Business Intelligence Developer,eHealth NSW,Sydney NSW,"EHealth NSW is responsible for the delivery of digital solutions for clinical care and business services, supported by smart infrastructure, providing a…", 118022
Expressions of Interest- Forensic Advisory,KPMG,Sydney NSW,"We help clients protect their business by providing assistance where facts and figures do not agree, where behaviour does not comply with expectations or where…",121207.5
Senior Business Intelligence Developer,eHealth NSW,Sydney NSW,"EHealth NSW is responsible for the delivery of digital solutions for clinical care and business services, supported by smart infrastructure, providing a…", 130233
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Data Analyst: Analysing and business consulting with data – using relational databases (SQL), data workbench & visualisation tools for project delivery,…",121207.5
Business Intelligence (BI) & Data Warehouse Developer,Harris Farm,Australia,This role is all about building a powerful BI capability that supports the evolution of business objectives & underpins exec level decision making such that…,121207.5
"Analyst, Retail Investments",Colliers International,Sydney NSW,"Actively pursue new appointments to act for organisations, especially focusing on fostering existing and new relationships with businesses likely to result in…",121207.5
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,Improving the City’s business intelligence and data integration capabilities throughout the City’s business intelligence program.,121207.5
Sydney Vacationer Program 2020-2021 (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",121207.5
"Specialist, Competitive Intelligence",Insurance Australia Group,Sydney NSW,"Effectively translate data into easily understandable information in professional and meaningful business presentations.
12-Month Max Term Opportunity.",121207.5
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
Product Specialist - Ethicon,Johnson & Johnson Family of Companies,Australia,"Achievement orientated with solid business acumen.
Maintain strong market intelligence to maximize opportunities to both protect and grow the business; and…",121207.5
"ASIO Psychologist (AE6) - Canberra, ACT",ASIO,Australia,"Your workload may include conducting psychological assessments, developing psychological advice in support of recruitment and the selection of applicants to…", 102480
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
Physiotherapist - Several Positions Across Perth!,Life Ready Physio + Pilates,Australia,"High emotional intelligence and self-awareness.
All of our employment decisions are based on business needs, job requirements and individual qualifications,…", 100000
Microsoft BI Developer/Analyst,Robert Half,Australia,"Experience working in large financial businesses is very advantageous.
Pioneers in their industry, this business have seen record revenue generating month even…",121207.5
"SSGA Investment Operations, Senior Associate",State Street,Sydney NSW,"Participate as required to any new business implementation projects.
Extensive liaison with the business in order to facilitate operational.",121207.5
"Online ESL English Language Teacher, Remote Working",Infinitum Education,Sydney NSW,"In order to achieve our vision, we have partnered with major Venture Capital funds and established strong business partnerships around the world.",121207.5
Business Intelligence Analyst Member Experience,Heritage Bank,Toowoomba QLD,"Work closely with business data experts to establish appropriate analytical dashboards.
Consult and collaborate with broader stakeholders in other business…",121207.5
Business Intelligence Analyst,Mars,Australia,"Have a passion for data and systems and are looking for the opportunity to synergise these to create one source of truth?
This is the right role for you.",121207.5
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,"Hands on experience within financial services delivering business intelligence.
Experience working with business and development teams to design, document and…",121207.5
Mechatronics Engineer,Freshwater Group,Sydney NSW,"Freshwater Group is a renewable energy recruitment business that focuses on all renewable and low carbon emission, energy efficiency and disruptive clean…",121207.5
Sydney 2021 Graduate Program (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",121207.5
Business/IS Analyst,IDEAS,Albury-Wodonga VIC,"Initially, you will be working with the executive team to review and examine potential process and system improvements and you will be integral to the…",121207.5
Graduate - Summer 2020/21 - Business Consultant,FDM Group,Australia,"You will develop a deep understanding of the business in order to ensure you are aligned with the business’ strategic goals and will enjoy dealing with people,…",121207.5
Reporting Analyst,Allianz,Sydney NSW,"Support the Allianz business with your data management skills.
Provide recommendations and insights to internal stakeholders to support business decisions;",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
Senior Strategy Advisor,Sydney Water,Australia,"Lead engagement with key stakeholders, including development and management of ongoing relationship to address business needs aligned to strategic direction.",121207.5
Marketing Specialist,Quarter Acre,Australia,"What sets us apart from the rest is data driven techniques using market intelligence and mathematical modelling.
The successful candidate must have:", 89000
"SSGA Investment Operations, Senior Associate",State Street,Sydney NSW,"Participate as required to any new business implementation projects.
Extensive liaison with the business in order to facilitate operational.",121207.5
"Online ESL English Language Teacher, Remote Working",Infinitum Education,Sydney NSW,"In order to achieve our vision, we have partnered with major Venture Capital funds and established strong business partnerships around the world.",121207.5
Business Intelligence Analyst Member Experience,Heritage Bank,Toowoomba QLD,"Work closely with business data experts to establish appropriate analytical dashboards.
Consult and collaborate with broader stakeholders in other business…",121207.5
Business Intelligence Analyst,Mars,Australia,"Have a passion for data and systems and are looking for the opportunity to synergise these to create one source of truth?
This is the right role for you.",121207.5
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,"Hands on experience within financial services delivering business intelligence.
Experience working with business and development teams to design, document and…",121207.5
Mechatronics Engineer,Freshwater Group,Sydney NSW,"Freshwater Group is a renewable energy recruitment business that focuses on all renewable and low carbon emission, energy efficiency and disruptive clean…",121207.5
Sydney 2021 Graduate Program (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",121207.5
Business/IS Analyst,IDEAS,Albury-Wodonga VIC,"Initially, you will be working with the executive team to review and examine potential process and system improvements and you will be integral to the…",121207.5
Graduate - Summer 2020/21 - Business Consultant,FDM Group,Australia,"You will develop a deep understanding of the business in order to ensure you are aligned with the business’ strategic goals and will enjoy dealing with people,…",121207.5
Reporting Analyst,Allianz,Sydney NSW,"Support the Allianz business with your data management skills.
Provide recommendations and insights to internal stakeholders to support business decisions;",121207.5
Testing Analyst (SSAS/SSIS),APRA,Australia,"Addressing issues raised by report developers or business end-users.
The role will sit as part of a Product team working along-side the development team and…",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Business Intelligence Developer,ACT Government,Canberra ACT,"Your role will be to develop dashboards, reports and other business intelligence (BI) products using a variety of data stored within the ACT Government's data…", 117249
Business Intelligence Developer,Safe Places for Children,Brisbane QLD,"Recent and relevant commercial experience engaging with business users.
Leave approvals may depend on business needs at the time.
Strong M and DAX skills.", 90000
Testing Analyst (SSAS/SSIS),Australian Prudential Regulation Authority (APRA),Sydney NSW,"Addressing issues raised by report developers or business end-users.
The role will sit as part of a Product team working along-side the development team and…",121207.5
Business Intelligence Officer,Canterbury-Bankstown Council,Australia,"Participate in business analysis activities to gather stakeholder reporting and dashboard requirements.
In this role you will support the Information services…",121207.5
Risk Advisory - Cyber Risk,Deloitte,Canberra ACT,If you’re fascinated by the role that technology plays in business and love the idea of helping clients manage their current and emerging cyber risks – this is…,121207.5
Senior SQL BI Developer (Azure),Robert Half,Australia,"The business is continually developing its analytical and reporting capabilities, so a well-rounded BI Developer with both technical skills and stakeholder…",121207.5
"People & Culture Business Partner, EY Port Jackson Partners",EY,Sydney NSW,"There is no business-as-usual here!
Commercial acumen and a clear understanding of how HR can add value to the business.
Skills and attributes for success.",121207.5
Data Analyst,PKF Australia,Sydney NSW,"To work with like-minded people that are passionate about data analytics and business intelligence.
The team supports our clients with revolutionary initiatives…",121207.5
Director - Program Evaluation,Kantar TNS,Sydney NSW,"Our business is growing, and Program Evaluation is a key area for expansion for us.
We go beyond the obvious, using intelligence, passion and creativity to…",121207.5
Senior Investigator,Australian Financial Security Authority (AFSA),Sydney NSW,"Propose and facilitate innovation initiatives and contribute to business improvement.
Be able to discern and assess incoming information from reliable…", 94601
Complaints Officer,Westpac Group,Parramatta NSW,"Analyse key trends in complaints to successfully identify the required business management decisions to achieve optimal business outcomes.
What’s in it for me?",121207.5
Risk Advisory - Forensic,Deloitte,Sydney NSW,"As a part of the Risk Advisory family, our 100+ team is comprised of practitioners from all sorts of fields ranging from law enforcement and accounting through…",121207.5
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"You will work with business stakeholders on factual problem formation, data identification and deriving answers that can be operationalized to solve business…",121207.5
IT Graduate,Allianz,Sydney NSW,"Gain exposure to a wide variety of business functions within our IT Division.
Professional development opportunities to continue to build your business and…",121207.5
Business Intelligence Analyst,One Model,Brisbane QLD,"Ensuring solutions meet business needs and requirements.
Prioritizing initiatives based on business needs and requirements.",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
Global Director of CRM,Zip,Australia,"Continuously seek to improve the intelligence available for relevant, personalized, real-time marketing.
Own and drive growth recommendations to the business,…",121207.5
Performance Director,Easy Payroll Global,Australia,"Our client is looking for its performance director to play a critical role in its growing business.
Ability to prepare business plans and provide input into…", 120000
Business Intelligence Analyst - Statistics/Mathematics,Agile Talent,Sydney NSW,"The successful applicant will have an actuarial, statistical, mathematical, economics or other quantitative field qualification, or significant work experience…",121207.5
Government Engineering Lead (PV Cleared),Microsoft,Australia,Demonstrated history of working in the defense and/or intelligence space in Australia at the business decision maker level.,121207.5
Business Intelligence Officer,Careers at Council,Bankstown NSW,"Participate in business analysis activities to gather stakeholder reporting and dashboard requirements.
In this role you will support the Information services…",121207.5
