title,company,location,summary,salary
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",107886.18
Business Intelligence Analyst,Mars,Australia,"Have a passion for data and systems and are looking for the opportunity to synergise these to create one source of truth?
This is the right role for you.",107886.18
APS 5 Business Intelligence Analyst,Australian Taxation Office,Australia,"You will build positive relationships with clients, working across areas to assess business problems and requirements.
Ongoing/non-ongoing, full-time/part-time.",107886.18
Senior Business Intelligence Developer,eHealth NSW,Sydney NSW,"EHealth NSW is responsible for the delivery of digital solutions for clinical care and business services, supported by smart infrastructure, providing a…", 130233
Business Intelligence Analyst,Macquarie Group,Australia,"Three or more years hands on experience in data analysis, business intelligence, management reporting or similar roles.
To be successful in this role, you will:",107886.18
Business Intelligence Developer,"Department of Environment, Land, Water and Plannin...",Melbourne City Centre VIC,The Business Intelligence Developer will provide specialist business analysis expertise with respect to business intelligence and reporting to the Department of…,107886.18
Expressions of Interest- Forensic Advisory,KPMG,Sydney NSW,"We help clients protect their business by providing assistance where facts and figures do not agree, where behaviour does not comply with expectations or where…",107886.18
Business Intelligence (BI) & Data Warehouse Developer,Harris Farm,Australia,This role is all about building a powerful BI capability that supports the evolution of business objectives & underpins exec level decision making such that…,107886.18
"Business Coordinator, Public Health Intelligence Directorate",Department of Health and Human Services,Melbourne City Centre VIC,"Coordinate the business, corporate and executive priorities and activities of the Public Health Intelligence Directorate.",107886.18
Business Intelligence Analyst,Macquarie Group Limited,Sydney NSW,"Three or more years hands on experience in data analysis, business intelligence, management reporting or similar roles.
To be successful in this role, you will:",107886.18
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,Improving the City’s business intelligence and data integration capabilities throughout the City’s business intelligence program.,107886.18
Analyst - Fraud Intelligence,AGL Energy,Melbourne VIC,"Join and be a part of this newly created Fraud team within AGL’s Customer Market business unit.
There’s never been a better time to be at AGL.",107886.18
Sydney Vacationer Program 2020-2021 (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",107886.18
