title,company,location,summary,salary
Entry Level Intelligence Analyst (Full Training Provided),Royal Australian Navy,Australia,"A role as an Entry Level Intelligence Analyst (known in the Navy as Cryptologic Linguist) is exciting, challenging and immensely rewarding.", 89999
Data Analyst COVID 19,Health System Support Group,Sydney NSW,"Liaise with data providers & subject matter experts to ensure correct translation between source data and stored data.
Prepare data for state-wide reporting.", 100090
"Data Analyst, EL1, Sydney, Canberra or Melbourne",Australian Trade Commission (Austrade),Sydney NSW,"You will be responsible for data analysis, data quality checks and providing data advice to ensure reliable, trustworthy scalable data is made available within…", 114031
Data Analyst - Sydney CBD,Johnathan Thurston Academy,Sydney NSW,"Experience as a data analyst or related field – BI/Business Analysis.
Assist in the normalisation and development of data assets, including developing cleansing…",106236.58
Business Analyst,Robert Half,Australia,"Impressive experience working on projects with complex integration and multiple systems data.
Your business know-how means you are easily able to perform due…",106236.58
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,"Ability to interpret new data sources and extraction/manipulation of large data sets to perform analytics.
Should have a deep understanding of Enterprise Data…",106236.58
Data Analyst,PKF Australia,Sydney NSW,"We are currently seeking a data analyst to join our growing team in Newcastle or Sydney, NSW.
Experience in predictive analytics techniques and data modelling.",106236.58
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,106236.58
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,"In data science and big data analytics, the IDA creates enablers for:
Understand data structures and business and extract and integrate required data sources…",106236.58
Research and Data Analyst,Chandler Macleod,Australia,"Qualifications, experience and skills in a data analytic role is essential, including a demonstrated ability to interrogate information management systems…",106236.58
Data Analyst - Australian Data,ANZ Banking Group,Australia,"Strong ability to translate data insights into practical business recommendations.
Address and solve complex business issues using large amounts of data.",106236.58
"Customer Data Analyst, Australia",OakNorth Bank,Sydney NSW,"A CA is responsible for working with client bank analysts to understand their processes and requirements for credit decisions, portfolio monitoring and data…",106236.58
Data Analyst,Access Corporate Group,North Sydney NSW,"Produce actionable business insights via data mining and data modelling.
3+ years in a data- analysis role with demonstrated experience in data integration and…",106236.58
