title,company,location,summary,salary
Sports Statistician (Data Collection),Genius Sports,None,"Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga, Australia and reporting all the action directly from the venue using…",100000.0
Data Scientist,Macquarie Group,None,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",110290.0
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",110290.0
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"Actioning insights from trusted data to consistently and quickly make clear decisions.
Extract and manipulate data from a variety of sources and apply the…",110290.0
Data Scientist,Macquarie Group Limited,Sydney NSW,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",110290.0
Data Scientist - Product Analytics,Atlassian,Sydney NSW,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…,110290.0
Data Scientist,THE ICONIC,Sydney NSW,"We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis.
What does success look like?",110290.0
Data Scientist- Digital,FinXL,Sydney NSW,"This is a great role for a Data Scientist to join a large Sydney CBD based telecommunications organisation.
You will have the following skills/experience:",110290.0
Data Scientist / Statistician,The University of Queensland,Queensland,"Skills and experience required for the role include, statistical programming and analytical skills, data acquisition, management, cleaning and data processing…", 115888
Data Scientist,Winc,Mascot NSW,"Information retrieval and data wrangling.
Experience in visualising/presenting data for stakeholders.
As our Data Scientist, you apply data mining techniques,…",110290.0
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",110290.0
Data Scientist,REA Group,Sydney NSW,"Build data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements.",110290.0
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",110290.0
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,110290.0
Data Scientist | Data and Analytics,EY,Canberra ACT,"We go beyond strategy, and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",110290.0
Data Scientist ,Robonomics AI,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",110290.0
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",110290.0
Data Scientist,flybuys,Melbourne VIC,"Analytical expertise - contribute to the development/evolution of the analytics and data science strategy.
Analytics professional with a proven track record …",110290.0
Data Scientist,Sherpa,Australia,"Research and develop statistical learning models for data analysis.
Strong data analysis skills & Presentation skills making the complex simple.",110290.0
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,"Reduce and correct user data and provide advice or further data processing and interpretation;
Reporting to the Reflectometry Group Manager, you will have…",110290.0
Senior Scientist,Science,Sydney NSW,"Well-developed knowledge and demonstrated experience in native vegetation ecology, vegetation data and data management platforms.",110290.0
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,"Develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning,…",110290.0
Data Scientist,Discovery Parks,Adelaide SA,Identify and develop the capability to track detailed competitor data and leverage existing internal data to inform smart customer lead decision making.,110290.0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,The Corporate Trust Analytics Specialist will be primarily responsible for understanding (via transaction documents) and then running and/or maintaining…,110290.0
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Data Scientist/Engineer (NLP and Chatbot).",110290.0
2020 Undergraduate Transport Planner - Sydney,AECOM,Sydney NSW,"Whether you are an engineer, planner, scientist, project manager or designer, we are looking for people who share our purpose and are passionate about improving…",110290.0
Data Scientist,The Network IT,Canberra ACT,"Remote sensing principles and experience (remotely sensed data).
Experienced in development and using Machine Learning models in a Big/Large data environment.",110290.0
Principal Statistical Analyst,Department of Education,Sydney NSW,"CESE is Australia’s first dedicated hub of education data and evaluation.
Collect essential education data and provide a one-stop shop for information needs.",110290.0
Data Scientist,Fortescue Metals Group,Perth WA,"Interpreting data, analysing data using statistical techniques.
Acquiring data from primary or secondary data sources and maintaining databases.",110290.0
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,"Translate data requirements into scalable technical data service with low latency and high concurrency.
Design,build and maintain the batch or real time data…",110290.0
Medical Data Scientist,Optimum Patient Care,None,"Contribute to data analyses as required for research projects.
Undertake quality checks to assure high standards of data and code.",110290.0
Medical Scientist,Optimum Patient Care,None,To contribute to new and existing projects with respect to considering practical medical issues and clinical application; and to understand EMR data and coding…,110290.0
Data Scientist,Discovery Parks,Adelaide SA,Identify and develop the capability to track detailed competitor data and leverage existing internal data to inform smart customer lead decision making.,110290.0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,The Corporate Trust Analytics Specialist will be primarily responsible for understanding (via transaction documents) and then running and/or maintaining…,110290.0
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Data Scientist/Engineer (NLP and Chatbot).",110290.0
2020 Undergraduate Transport Planner - Sydney,AECOM,Sydney NSW,"Whether you are an engineer, planner, scientist, project manager or designer, we are looking for people who share our purpose and are passionate about improving…",110290.0
Data Scientist,The Network IT,Canberra ACT,"Remote sensing principles and experience (remotely sensed data).
Experienced in development and using Machine Learning models in a Big/Large data environment.",110290.0
Principal Statistical Analyst,Department of Education,Sydney NSW,"CESE is Australia’s first dedicated hub of education data and evaluation.
Collect essential education data and provide a one-stop shop for information needs.",110290.0
Data Scientist,Fortescue Metals Group,Perth WA,"Interpreting data, analysing data using statistical techniques.
Acquiring data from primary or secondary data sources and maintaining databases.",110290.0
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,"Translate data requirements into scalable technical data service with low latency and high concurrency.
Design,build and maintain the batch or real time data…",110290.0
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,"Track record in leading data science projects and delivering from end-to-end.
Proficient in big data computing skills: scikit-learn in Python, Pandas, Hadoop,…",110290.0
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",110290.0
Data Scientist,Macquarie Group,None,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",110290.0
Sports Statistician (Data Collection),Genius Sports,None,"Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga, Australia and reporting all the action directly from the venue using…",100000.0
Machine Learning Engineer,Accenture,Sydney NSW,"Data Strategy - background in data, analytics or AI strategy in particular building operating model, maturity assessments, data governance or data assessments.",110290.0
Data Scientist,Firesoft People,Sydney NSW,"Proven commercial experience in statistical and machine learning modelling, with experience manipulating big data from disparate systems.",200000.0
Data Scientist,Talenza,Sydney NSW,"Talenza has been engaged by one of our ASX Top 50 clients,in their search for a talented Data Scientist to join a collaborative and high achieving A.",110290.0
Data Scientist,Murdoch Childrens Research Institute,Parkville VIC,"Our research is increasingly data-rich, with the volume, variety and velocity of data being generated requiring structured data governance and sophisticated…", 102000
Data Scientist,TabCorp Holdings,Sydney NSW,A proven track record of delivering data science solutions into production that have delivered significant business/financial value.,110290.0
