title,company,location,summary,salary
Casual Ecologist/Environmental Scientist,Anderson Environmental Pty Ltd,Australia,"A minimum of 3 years practical experience undertaking field-based surveys, data analysis and reporting, preferably in a consulting capacity.",115926.1
Data Scientist,Vodafone,North Sydney NSW,"Collect, aggregate and analyse data from multiple internal and external sources to drive actionable insights.
2-3+ years of hands on experience in data science,…",115926.1
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,"In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by…",115926.1
Data Scientist,ED - Group Support Functions,Sydney NSW,Work with our data engineering and technology teams to identify the right big data infrastructure to support our future ambitions.,115926.1
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",115926.1
Data Scientist,THE ICONIC,Sydney NSW,"We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis.
What does success look like?",115926.1
Data Scientist,Fortescue Metals Group,Perth WA,"Interpreting data, analysing data using statistical techniques.
Acquiring data from primary or secondary data sources and maintaining databases.",115926.1
Data Scientist - Product Analytics,Atlassian,Sydney NSW,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…,115926.1
Data Scientist,Macquarie Group Limited,Sydney NSW,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",115926.1
Data Scientist,REA Group,Sydney NSW,"Build data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements.",115926.1
Data Scientist ,Robonomics AI,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",115926.1
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"Actioning insights from trusted data to consistently and quickly make clear decisions.
Extract and manipulate data from a variety of sources and apply the…",115926.1
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",115926.1
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",115926.1
