title,company,location,summary,salary
Casual Ecologist/Environmental Scientist,Anderson Environmental Pty Ltd,Australia,"A minimum of 3 years practical experience undertaking field-based surveys, data analysis and reporting, preferably in a consulting capacity.",114565.83
Data Scientist,Vodafone,North Sydney NSW,"Collect, aggregate and analyse data from multiple internal and external sources to drive actionable insights.
2-3+ years of hands on experience in data science,…",114565.83
Data Scientist,Fortescue Metals Group,Perth WA,"Interpreting data, analysing data using statistical techniques.
Acquiring data from primary or secondary data sources and maintaining databases.",114565.83
Data Scientist - Product Analytics,Atlassian,Sydney NSW,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…,114565.83
"Data Scientist, Digital Delta",KPMG,Sydney NSW,"Actioning insights from trusted data to consistently and quickly make clear decisions.
Extract and manipulate data from a variety of sources and apply the…",114565.83
Data Scientist,Fortune Select,Newcastle NSW,"Minimum 10 years exp. in data scientist role and 5 years in telco exp.
Candidate should have big data analytics exp. working on AW/Azure cloud for data analysis…",114565.83
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,"Track record in leading data science projects and delivering from end-to-end.
Proficient in big data computing skills: scikit-learn in Python, Pandas, Hadoop,…",114565.83
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",114565.83
Data Scientist,ME Bank,Melbourne VIC,"With an outstanding data-based problem-solving skill set, you’re a champion at being able to analyse and design data science processes.",114565.83
Data Scientist,Macquarie Group Limited,Sydney NSW,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",114565.83
Data Scientist,Winc,Mascot NSW,"Information retrieval and data wrangling.
Experience in visualising/presenting data for stakeholders.
As our Data Scientist, you apply data mining techniques,…",114565.83
Data Scientist / Statistician,The University of Queensland,Queensland,"Skills and experience required for the role include, statistical programming and analytical skills, data acquisition, management, cleaning and data processing…", 115888
"EL1, Senior Data Scientist, Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"In-depth knowledge and expertise of data management, data mining, text mining, statistics and software development is critical.
Job Type: Ongoing, Full Time.", 122623
Data Scientist,THE ICONIC,Sydney NSW,"We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis.
What does success look like?",114565.83
Data Scientist,REA Group,Sydney NSW,"Build data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements.",114565.83
Data Scientist ,Robonomics AI,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",114565.83
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",114565.83
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",114565.83
Data Scientist,Sherpa,Australia,"Research and develop statistical learning models for data analysis.
Strong data analysis skills & Presentation skills making the complex simple.",114565.83
"APS 5, APS 6 (Multiple Classifications) - Data Analyst, Data Scientist – Analytics and Reporting",Australian Government Department of Defence,Canberra ACT,"Identifying connections between systems and data (mainly structured data sets) and working on new ways to simplify, automate and standardise key financial…", 92150
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Data Scientist/Engineer (NLP and Chatbot).",114565.83
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",114565.83
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,114565.83
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,"Reduce and correct user data and provide advice or further data processing and interpretation;
Reporting to the Reflectometry Group Manager, you will have…",114565.83
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,"Develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning,…",114565.83
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,"Translate data requirements into scalable technical data service with low latency and high concurrency.
Design,build and maintain the batch or real time data…",114565.83
Research Associate - Data Science,University of New South Wales,Sydney NSW,"Often such models are developed based on the behavioural data collected in (sequential) decision-making tasks in humans, and in some studies neural data…", 103000
Staff Data Engineer,Culture Amp,Melbourne VIC,"Collaborate with data scientists to automate training and deployment of machine learning models.
Design and implement a secure data access architecture,…",114565.83
Cartrack SG - Data Scientist (Computer Vision and Deep Learning),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Get to know the role:",114565.83
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,The Corporate Trust Analytics Specialist will be primarily responsible for understanding (via transaction documents) and then running and/or maintaining…,114565.83
Data Scientist,THE ICONIC,Sydney NSW,"We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis.
What does success look like?",114565.83
Data Scientist,REA Group,Sydney NSW,"Build data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements.",114565.83
Data Scientist ,Robonomics AI,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",114565.83
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",114565.83
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",114565.83
Data Scientist,Sherpa,Australia,"Research and develop statistical learning models for data analysis.
Strong data analysis skills & Presentation skills making the complex simple.",114565.83
"APS 5, APS 6 (Multiple Classifications) - Data Analyst, Data Scientist – Analytics and Reporting",Australian Government Department of Defence,Canberra ACT,"Identifying connections between systems and data (mainly structured data sets) and working on new ways to simplify, automate and standardise key financial…", 92150
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Data Scientist/Engineer (NLP and Chatbot).",114565.83
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",114565.83
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,114565.83
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,"Reduce and correct user data and provide advice or further data processing and interpretation;
Reporting to the Reflectometry Group Manager, you will have…",114565.83
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,"Develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning,…",114565.83
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,"Translate data requirements into scalable technical data service with low latency and high concurrency.
Design,build and maintain the batch or real time data…",114565.83
Research Associate - Data Science,University of New South Wales,Sydney NSW,"Often such models are developed based on the behavioural data collected in (sequential) decision-making tasks in humans, and in some studies neural data…", 103000
Staff Data Engineer,Culture Amp,Melbourne VIC,"Collaborate with data scientists to automate training and deployment of machine learning models.
Design and implement a secure data access architecture,…",114565.83
Cartrack SG - Data Scientist/Engineer (Routing),TechSkills Accelerator,Australia,"Deep dive into big data to conduct advanced data science models to predict certain metrics such as ETA.
Constructing solution concepts from insights using…",114565.83
Medical Laboratory Scientist,NSW Health Pathology,Sydney NSW,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…", 93112
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,"Solid theoretical foundations and industry experiences in machine learning, personalized search & recommendation, user/seller behaviour modelling, sales…",114565.83
Data Scientist,Discovery Parks,Adelaide SA,Identify and develop the capability to track detailed competitor data and leverage existing internal data to inform smart customer lead decision making.,114565.83
Cartrack - Data Scientist/Engineer (Driver Behaviour),TechSkills Accelerator,Australia,"Develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning,…",114565.83
Scientist,Australian Red Cross Lifeblood,Alexandria NSW,"Manage the receipt, input and tracking of clinical data.
Fixed term full time opportunity until August 2021.
We also help to facilitate the donation of tissue,…",114565.83
Data Scientist,flybuys,Melbourne VIC,"Analytical expertise - contribute to the development/evolution of the analytics and data science strategy.
Analytics professional with a proven track record …",114565.83
Data Scientist - Machine Learning/ Computer Vision / NLP,Oracle,Melbourne VIC,"If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems, be creative, create success for customers, and engage…",114565.83
2020 Undergraduate Transport Planner - Sydney,AECOM,Sydney NSW,"Whether you are an engineer, planner, scientist, project manager or designer, we are looking for people who share our purpose and are passionate about improving…",114565.83
Data Scientist - Geoscience,AngloGold Ashanti,Perth WA,"Literacy in data management principles and quality control systems.
MSc or PhD degree in a relevant field with machine learning and data mining OR minimum of 4+…",114565.83
Data Scientist,TabCorp Holdings,Sydney NSW,A proven track record of delivering data science solutions into production that have delivered significant business/financial value.,114565.83
Computational Biologist/Bioinformatician - Exceptional Responders Study,The Garvan Institute of Medical Research,Sydney NSW,"Experience analysing cancer genomic data.
Experience working with next-generation sequencing data.
Analysing multi-omic data collected from exceptional…",114565.83
Environmental Scientist,Department of Primary Industry and Resources,Darwin NT,"Evaluate reports and data relating to mining activities applying specialist knowledge in water chemistry, waste rock.
Territory Mining Management Act 2001 .",114565.83
RESEARCH DIETITIAN,University of Melbourne,Australia,"Analytical and conceptual skills to analyse and interpret scientific data.
They will also be involved in all aspects of the study, including diet analysis, data…", 99964
Azendian - Data Scientist,TechSkills Accelerator,Australia,"Consolidation and preparation of data, as well as verifying the quality of data.
Be able to develop SQL queries and working with data models.",114565.83
Casual Ecologist/Environmental Scientist,Anderson Environmental Pty Ltd,Australia,"A minimum of 3 years practical experience undertaking field-based surveys, data analysis and reporting, preferably in a consulting capacity.",114565.83
Medical Data Scientist,Optimum Patient Care,Australia,"Contribute to data analyses as required for research projects.
Undertake quality checks to assure high standards of data and code.",114565.83
Sr/Consultant Epidemiologist,IQVIA,Australia,"The successful applicant will have the opportunity to work with experienced consultants, researchers and data scientists to support the design, development and…",114565.83
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,"Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data.
Data Scientist/Engineer (NLP and Chatbot).",114565.83
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,"Developing novel algorithms and statistical models as required by the company.
Building production-level bioinformatics pipelines using docker and AWS step…",114565.83
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories (databases and spreadsheets) in a timely and accurate manner.,114565.83
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,"Reduce and correct user data and provide advice or further data processing and interpretation;
Reporting to the Reflectometry Group Manager, you will have…",114565.83
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,"Develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning,…",114565.83
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,"Translate data requirements into scalable technical data service with low latency and high concurrency.
Design,build and maintain the batch or real time data…",114565.83
Research Associate - Data Science,University of New South Wales,Sydney NSW,"Often such models are developed based on the behavioural data collected in (sequential) decision-making tasks in humans, and in some studies neural data…", 103000
Staff Data Engineer,Culture Amp,Melbourne VIC,"Collaborate with data scientists to automate training and deployment of machine learning models.
Design and implement a secure data access architecture,…",114565.83
