title,company,location,summary,salary,salary_class
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,Our mission is to assist organisations turn their data into strategic assets developing data strategies and data management practices that enable responsible ,115015.56,0
"Data Scientist, Digital Delta",KPMG,Sydney NSW,Actioning insights from trusted data to consistently and quickly make clear decisions Extract and manipulate data from a variety of sources and apply the ,115015.56,0
Data Scientist - Product Analytics,Atlassian,Sydney NSW,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve ,115015.56,0
Data Scientist- Digital,FinXL,Sydney NSW,This is a great role for a Data Scientist to join a large Sydney CBD based telecommunications organisation You will have the following skills experience ,115015.56,0
Data Scientist,THE ICONIC,Sydney NSW,We look for Data Scientists and Data Analysts who can solve complex data problems and are experts in data analysis What does success look like ,115015.56,0
Data Scientist,Macquarie Group Limited,Sydney NSW,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,In data science and big data analytics the IDA creates enablers for Leading the field of data science and analytics innovation training and services by ,115015.56,0
Medical laboratory Scientist,NSW Health Pathology,Sydney NSW,Our network of pathologists are supported by scientists technicians and support staff who quickly and accurately assess samples so clinical teams can make the ,93112.0,0
Data Scientist,Sherpa,Australia,Research and develop statistical learning models for data analysis Strong data analysis skills Presentation skills making the complex simple ,115015.56,0
Data Scientist / Statistician,The University of Queensland,Queensland,Skills and experience required for the role include statistical programming and analytical skills data acquisition management cleaning and data processing ,115888.0,1
Data Scientist,Fortescue Metals Group,Perth WA,Interpreting data analysing data using statistical techniques Acquiring data from primary or secondary data sources and maintaining databases ,115015.56,0
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,We work at all levels of the problem domain from market data handlers through trade monitoring Work with python systems to extract the data you will require ,115015.56,0
Data Scientist,Winc,Mascot NSW,Information retrieval and data wrangling Experience in visualising presenting data for stakeholders As our Data Scientist you apply data mining techniques ,115015.56,0
Data Scientist,REA Group,Sydney NSW,Build data pipelines troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements ,115015.56,0
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories databases and spreadsheets in a timely and accurate manner ,115015.56,0
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories databases and spreadsheets in a timely and accurate manner ,115015.56,0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,The Corporate Trust Analytics Specialist will be primarily responsible for understanding via transaction documents and then running and or maintaining ,115015.56,0
Data Scientist ,Robonomics AI,Sydney NSW,We are looking for a candidate with good command over R Python and in depth knowledge and experience in Machine Learning deep learning methods algorithm ,115015.56,0
